Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW M240i Coupe M Performance,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW M340i,3.0,6.0,SemiAuto-8,2WD,Gasoline,small car,22,30,25
BMW M340i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small car,22,30,25
BMW M4 CS,3.0,6.0,AMS-7,2WD,Gasoline,small car,17,23,19
BMW M4 Convertible,3.0,6.0,AMS-7,2WD,Gasoline,small car,16,22,19
BMW M4 Convertible,3.0,6.0,Man-6,2WD,Gasoline,small car,17,25,20
BMW M4 Convertible Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,16,22,19
BMW M4 Convertible Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,17,25,20
BMW M4 Coupe,3.0,6.0,AMS-7,2WD,Gasoline,small car,17,23,19
BMW M4 Coupe,3.0,6.0,Man-6,2WD,Gasoline,small car,18,25,20
BMW M4 Coupe Competition,3.0,6.0,AMS-7,2WD,Gasoline,small car,17,23,19
BMW M4 Coupe Competition,3.0,6.0,Man-6,2WD,Gasoline,small car,18,25,20
BMW M5,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,15,21,17
BMW M5 Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,15,21,17
BMW M550i,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,18,25,20
BMW M760i xDrive,6.6,12.0,SemiAuto-8,4WD,Gasoline,large car,13,20,16
BMW M8 Competition Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,15,21,17
BMW M8 Competition Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,15,21,17
BMW M8 Competition Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,15,21,17
BMW M8 Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,15,21,17
BMW M8 Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,15,21,17
BMW M8 Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,15,21,17
BMW M850i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,18,25,20
BMW M850i xDrive Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,small car,17,25,20
BMW M850i xDrive Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,midsize car,17,25,20
BMW X1 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,large car,24,33,27
BMW X1 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,23,31,26
BMW X2 M35i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,23,30,26
BMW X2 sDrive28i,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,24,32,27
